STUSPS	NAME	INTPTLONG	INTPTLAT
AL	Scottsboro city	-86.048205	34.644641
AL	Section town	-85.984942	34.581644
AL	Selma city	-87.03471	32.416985
AL	Sheffield city	-87.701265	34.755494
AL	Shiloh town	-85.877994	34.463763
AL	Shorter town	-85.972756	32.411509
AL	Silas town	-88.325923	31.767802
AL	Silverhill town	-87.749201	30.544644
AL	Sipsey town	-87.082918	33.822119
AL	Skyline town	-86.12243	34.798524
AL	Slocomb city	-85.598495	31.112369
AL	Smiths Station city	-85.110577	32.535198
AL	Snead town	-86.389536	34.119796
AL	Somerville town	-86.796037	34.466992
AL	Southside city	-86.01802	33.890841
AL	South Vinemont town	-86.866391	34.236177
AL	Spanish Fort city	-87.867747	30.721947
AL	Springville city	-86.488817	33.74472
AL	Steele town	-86.192085	33.941362
AL	Stevenson city	-85.81435	34.876797
AL	Sulligent city	-88.126633	33.891189
AL	Sumiton city	-87.047094	33.749574
AL	Summerdale town	-87.687561	30.476741
AL	Susan Moore town	-86.434242	34.092178
AL	Sweet Water town	-87.861185	32.104903
AL	Sylacauga city	-86.260105	33.177585
AL	Sylvania town	-85.804721	34.562043
AL	Sylvan Springs town	-87.031206	33.528628
AL	Talladega city	-86.098251	33.430539
AL	Talladega Springs town	-86.437761	33.120452
AL	Tallassee city	-85.892108	32.535132
AL	Tarrant city	-86.766253	33.595267
AL	Taylor town	-85.475797	31.168749
AL	Thomaston town	-87.623706	32.268278
AL	Thomasville city	-87.741848	31.911085
AL	Thorsby town	-86.718555	32.917249
AL	Town Creek town	-87.407763	34.671301
AL	Toxey town	-88.309146	31.910712
AL	Trafford town	-86.746572	33.819484
AL	Triana town	-86.742817	34.592318
AL	Trinity town	-87.083806	34.597263
AL	Troy city	-85.964913	31.802066
AL	Trussville city	-86.580135	33.64074
AL	Tuscaloosa city	-87.525798	33.233083
AL	Tuscumbia city	-87.702603	34.718686
AL	Tuskegee city	-85.673314	32.418209
AL	Twin town	-87.852295	33.992314
AL	Union town	-87.907179	32.99381
AL	Union Grove town	-86.451667	34.406172
AL	Union Springs city	-85.714625	32.139892
AL	Uniontown town	-87.50946	32.447641
AL	Valley city	-85.177056	32.808488
AL	Valley Grande city	-87.032773	32.486872
AL	Valley Head town	-85.620579	34.559507
AL	Vance town	-87.226627	33.173992
AL	Vernon city	-88.114379	33.758859
AL	Vestavia Hills city	-86.739508	33.462496
AL	Vina town	-88.060572	34.376175
AL	Vincent town	-86.406013	33.387726
AL	Vredenburgh town	-87.318059	31.823241
AL	Wadley town	-85.568592	33.1234
AL	Waldo town	-86.040728	33.386954
AL	Walnut Grove town	-86.28717	34.064595
AL	Warrior city	-86.815273	33.815214
AL	Waterloo town	-88.06431	34.917254
AL	Waverly town	-85.571032	32.730104
AL	Weaver city	-85.813078	33.76258
AL	Webb town	-85.289379	31.257605
AL	Wedowee town	-85.4865	33.308004
AL	West Blocton town	-87.124437	33.118642
AL	West Jefferson town	-87.068	33.648529
AL	Westover town	-86.538125	33.374642
AL	West Point town	-86.964033	34.238751
AL	Wetumpka city	-86.204857	32.539138
AL	White Hall town	-86.715366	32.299544
AL	Wilsonville town	-86.486729	33.235411
AL	Wilton town	-86.879656	33.081565
AL	Winfield city	-87.791874	33.931561
AL	Woodland town	-85.397439	33.375627
AL	Woodstock town	-87.148413	33.217321
AL	Woodville town	-86.284079	34.629456
AL	Yellow Bluff town	-87.48072	31.962139
AL	York city	-88.291401	32.500609
AK	Adak city	-176.566001	51.840182
AK	Akhiok city	-154.214275	56.949573
AK	Akiak city	-161.216376	60.909982
AK	Akutan city	-165.79081	54.138196
AK	Alakanuk city	-164.644712	62.71116
AK	Aleknagik city	-158.664343	59.288961
AK	Allakaket city	-152.649808	66.564544
AK	Ambler city	-157.847803	67.100657
AK	Anaktuvuk Pass city	-151.700071	68.151792
AK	Anchorage municipality	-149.274354	61.177549
AK	Anderson city	-149.162919	64.309634
AK	Angoon city	-134.477712	57.440717
AK	Aniak city	-159.528754	61.578035
AK	Anvik city	-160.213686	62.631016
AK	Atka city	-174.215643	52.213091
AK	Atqasuk city	-157.325459	70.480786
AK	Barrow city	-156.798949	71.254084
AK	Bethel city	-161.793405	60.792913
AK	Bettles city	-151.537737	66.906318
AK	Brevig Mission city	-166.508493	65.34392
AK	Buckland city	-161.138699	65.976106
AK	Chefornak city	-164.251364	60.15122
AK	Chevak city	-165.597175	61.530883
AK	Chignik city	-158.395643	56.294355
AK	Chuathbaluk city	-159.24707	61.575539
AK	Clark's Point city	-158.52881	58.833369
AK	Coffman Cove city	-132.83189	56.013184
AK	Cold Bay city	-162.776107	55.215583
AK	Cordova city	-145.642065	60.530138
AK	Craig city	-133.11336	55.49252
AK	Deering city	-162.76861	66.069313
AK	Delta Junction city	-145.693529	64.060263
AK	Dillingham city	-158.540657	59.054951
AK	Diomede city	-168.923151	65.753769
AK	Eagle city	-141.19332	64.780117
AK	Eek city	-162.030483	60.21405
AK	Egegik city	-157.521978	58.205148
AK	Ekwok city	-157.488006	59.345664
AK	Elim city	-162.273386	64.618385
AK	Emmonak city	-164.552449	62.785415
AK	Fairbanks city	-147.651745	64.836531
AK	False Pass city	-163.334268	54.872441
AK	Fort Yukon city	-145.229192	66.587608
AK	Galena city	-156.873969	64.739952
AK	Gambell city	-171.72571	63.777201
AK	Golovin city	-163.001003	64.563667
AK	Goodnews Bay city	-161.575656	59.128713
AK	Grayling city	-160.111792	62.895443
AK	Gustavus city	-135.763035	58.422404
AK	Holy Cross city	-159.856076	62.187014
AK	Homer city	-151.511234	59.639985
AK	Hoonah city	-135.425471	58.11082
AK	Hooper Bay city	-166.121735	61.535469
AK	Houston city	-149.771769	61.616515
AK	Hughes city	-154.237175	66.044722
AK	Huslia city	-156.305807	65.706971
AK	Hydaburg city	-132.818341	55.20412
AK	Juneau city and borough	-134.178781	58.3727
AK	Kachemak city	-151.437368	59.674154
AK	Kake city	-133.904393	56.977698
AK	Kaktovik city	-143.629531	70.121207
AK	Kaltag city	-158.779727	64.313823
AK	Kasaan city	-132.399388	55.5561
AK	Kenai city	-151.207971	60.562274
AK	Ketchikan city	-131.674712	55.357696
AK	Kiana city	-160.437625	66.971322
AK	King Cove city	-162.321376	55.080062
AK	Kivalina city	-164.539688	67.728579
AK	Klawock city	-133.087741	55.556339
AK	Kobuk city	-156.90468	66.924092
AK	Kodiak city	-152.404007	57.792317
AK	Kotlik city	-163.535732	63.028875
AK	Kotzebue city	-162.511447	66.870452
AK	Koyuk city	-161.151272	64.939607
AK	Koyukuk city	-157.694303	64.902278
